,name,color,specie,strain,type,PCN,MIC,conj_rate,VKm,rho,seg_rate,kappa
88,PF_KPN10,#c6a5c1,K,K209,WT,nan,64.0,-14.4,4.47e-10,796717300.0,nan,0.00048828125
89,PF_KPN11,#ff9070,K,K213,WT,nan,256.0,-9.840598,5.62e-10,849012300.0,nan,0.001953125
90,PF_KQ04,#d3c37c,K,K216,WT,nan,64.0,-10.208111,8.67e-10,660056000.0,nan,0.00048828125
91,PF_KV01,#bceddb,K,K224,WT,nan,64.0,nan,4.26e-10,989556360.0,nan,0.00048828125
92,PF_KPN12,#6b8567,K,K225,WT,nan,128.0,-10.294705,6.01e-10,1008177000.0,nan,0.0009765625
93,PF_KPN13,#916e56,K,K241,WT,nan,128.0,nan,7.36e-10,720565340.0,nan,0.0009765625
94,PF_KPN14,#6390B8,K,K248,WT,nan,64.0,-10.486294,5.83e-10,730585600.0,nan,0.00048828125
95,PF_KPN15,#bac1df,K,K249,WT,nan,256.0,nan,7.49e-10,891693375.0,nan,0.001953125
96,PF_KPN16,#ac567c,K,K253,WT,nan,16.0,-12.830229,4.36e-10,846491600.0,nan,0.0001220703125
97,PF_KPN17,#ffcd03,K,K257,WT,nan,64.0,nan,4e-10,978606100.0,nan,0.00048828125
98,PF_KPN18,#ff49b1,K,K275,WT,nan,256.0,nan,4.98e-10,995420300.0,nan,0.001953125
99,PF_KPN19,#c15603,K,K285,WT,nan,128.0,nan,6.08e-10,773936415.0,nan,0.0009765625
100,PF_KPN20,#5d8c90,K,K300,WT,nan,32.0,nan,4.29e-10,1046281860.0,nan,0.000244140625
